Name,Date,Total Monthly Precipitation,Total Montly Snowfall (mm),Avg Monthly Temp,Monthly Mean Max Temp,Monthly Mean Min Temp
"ADA, MN US",1956-03,1.22,13.7,20.0,29.6,10.5
"ADA, MN US",1956-04,1.72,8.5,36.1,45.9,26.4
"ADA, MN US",1956-05,3.46,0.0,54.5,67.3,41.7
"ADA, MN US",1956-06,2.00,0.0,70.6,82.6,58.6
"ADA, MN US",1956-07,2.29,0.0,67.1,78.9,55.4
"ADA, MN US",1956-08,2.64,0.0,68.3,82.1,54.6
"ADA, MN US",1956-09,0.77,0.0,55.5,69.5,41.5
"ADA, MN US",1956-10,1.17,0.0,51.6,66.5,36.7
"ADA, MN US",1956-11,1.82,0.5,31.7,40.7,22.8
"ADA, MN US",1956-12,0.46,4.9,16.4,26.8,6.0
"ADA, MN US",1957-01,0.65,7.1,2.1,12.5,-8.3
"ADA, MN US",1957-02,0.30,6.0,12.0,22.0,2.0
"ADA, MN US",1957-03,0.19,2.0,27.0,37.0,17.0
"ADA, MN US",1957-04,2.02,5.0,41.9,54.5,29.4
"ADA, MN US",1957-05,2.11,0.0,56.6,71.1,42.2
"ADA, MN US",1957-06,7.13,0.0,63.3,76.6,50.0
"ADA, MN US",1957-07,3.75,0.0,75.4,88.4,62.4
"ADA, MN US",1957-08,1.50,0.0,69.0,81.2,56.7
"ADA, MN US",1957-09,4.65,0.0,57.2,68.6,45.9
"ADA, MN US",1957-10,1.54,0.0,46.7,56.4,36.9
"ADA, MN US",1957-11,1.28,2.5,28.8,36.9,20.8
"ADA, MN US",1957-12,0.05,0.5,20.8,31.5,10.2
"ADA, MN US",1958-01,0.22,2.5,18.2,28.5,7.9
"ADA, MN US",1958-02,0.07,0.0,13.5,25.9,1.1
"ADA, MN US",1958-03,0.07,0.0,31.2,42.5,20.0
"ADA, MN US",1958-04,0.61,0.0,46.1,61.0,31.1
"ADA, MN US",1958-05,2.11,0.0,59.0,75.5,42.5
"ADA, MN US",1958-06,3.48,0.0,60.2,74.1,46.3
"ADA, MN US",1958-07,4.95,0.0,67.4,80.4,54.3
"ADA, MN US",1958-08,2.44,0.0,69.3,84.1,54.6
"ADA, MN US",1958-09,1.35,0.0,59.9,72.9,46.9
"ADA, MN US",1958-10,1.17,0.0,49.2,61.3,37.0
"ADA, MN US",1958-11,3.12,8.0,29.5,38.8,20.1
"ADA, MN US",1958-12,0.33,3.5,9.7,19.6,-0.1
"ADA, MN US",1959-01,0.33,4.0,3.2,12.5,-6.1
"ADA, MN US",1959-02,0.41,3.5,9.4,20.8,-2.1
"ADA, MN US",1959-03,0.00,0.0,31.3,41.7,20.8
"ADA, MN US",1959-04,0.70,0.0,44.2,58.5,29.9
"ADA, MN US",1959-05,4.11,0.0,56.0,68.8,43.1
"ADA, MN US",1959-06,3.52,0.0,68.5,81.5,55.6
"ADA, MN US",1959-07,3.33,0.0,72.6,85.7,59.5
"ADA, MN US",1959-08,4.21,0.0,72.8,86.0,59.5
"ADA, MN US",1959-09,0.98,0.0,59.6,72.4,46.8
"ADA, MN US",1959-10,1.74,1.0,41.4,50.5,32.2
"ADA, MN US",1959-11,0.85,6.0,20.3,28.7,11.9
"ADA, MN US",1959-12,1.10,1.0,25.0,33.4,16.5
"ADA, MN US",1960-01,0.85,9.5,9.0,18.7,-0.7
"ADA, MN US",1960-02,0.34,0.0,13.0,23.4,2.7
"ADA, MN US",1960-03,0.32,0.5,17.9,28.3,7.6
"ADA, MN US",1960-04,2.57,7.0,42.0,52.6,31.5
"ADA, MN US",1960-05,2.02,0.0,57.0,72.2,41.7
"ADA, MN US",1960-06,3.66,0.0,63.9,76.9,51.0
"ADA, MN US",1960-07,3.25,0.0,71.3,86.3,56.4
"ADA, MN US",1960-08,6.56,0.0,71.6,84.3,58.9
"ADA, MN US",1960-09,2.12,0.0,60.9,73.9,47.9
"ADA, MN US",1960-10,1.49,0.0,47.8,61.0,34.6
"ADA, MN US",1960-11,1.57,12.0,30.8,40.6,21.0
"ADA, MN US",1960-12,1.02,4.5,9.9,20.7,-0.9
"ADA, MN US",1961-01,0.21,1.5,6.9,18.3,-4.5
"ADA, MN US",1961-02,0.26,1.5,19.1,29.0,9.2
"ADA, MN US",1961-03,0.48,0.0,34.8,44.5,25.1
"ADA, MN US",1961-04,1.89,2.5,37.2,48.9,25.5
"ADA, MN US",1961-05,1.97,0.0,53.0,69.0,37.1
"ADA, MN US",1961-06,0.78,0.0,67.7,84.5,50.8
"ADA, MN US",1961-07,2.78,0.0,69.4,83.1,55.8
"ADA, MN US",1961-08,0.75,0.0,72.9,89.2,56.7
"ADA, MN US",1961-09,4.01,0.0,57.8,69.0,46.5
"ADA, MN US",1961-10,1.30,0.0,48.1,59.9,36.4
"ADA, MN US",1961-11,0.14,0.5,29.9,39.5,20.3
"ADA, MN US",1961-12,1.31,11.5,9.2,19.1,-0.6
"ADA, MN US",1962-01,1.70,15.4,2.9,14.0,-8.2
"ADA, MN US",1962-02,1.49,3.0,6.0,16.9,-4.9
"ADA, MN US",1962-03,0.72,7.4,23.7,31.6,15.8
"ADA, MN US",1962-04,1.39,0.0,40.0,51.7,28.2
"ADA, MN US",1962-05,7.75,0.0,55.4,66.4,44.5
"ADA, MN US",1962-06,3.35,0.0,66.0,76.7,55.3
"ADA, MN US",1962-07,8.49,0.0,68.3,80.3,56.3
"ADA, MN US",1962-08,3.52,0.0,70.5,84.3,56.7
"ADA, MN US",1962-09,2.65,0.0,57.1,69.9,44.3
"ADA, MN US",1962-10,0.59,0.0,50.2,62.9,37.4
"ADA, MN US",1962-11,0.40,0.0,34.2,42.1,26.3
"ADA, MN US",1962-12,0.53,,16.6,27.5,5.7
"ADA, MN US",1963-01,0.03,,0.9,9.2,-7.4
"ADA, MN US",1963-02,0.42,,12.1,22.2,1.9
"ADA, MN US",1963-06,,0.0,,,
"ADA, MN US",1963-07,1.64,0.0,72.5,86.0,59.0
"ADA, MN US",1963-08,3.79,0.0,69.5,83.5,55.5
"ADA, MN US",1963-09,0.47,0.0,64.5,77.6,51.4
"ADA, MN US",1963-11,,,,,
"ADA, MN US",1963-12,0.44,5.0,7.4,16.5,-1.8
"ADA, MN US",1964-01,0.46,10.0,15.0,25.2,4.7
"ADA, MN US",1964-02,0.26,,18.1,29.8,6.4
"ADA, MN US",1964-03,1.50,14.0,20.7,34.1,7.4
"ADA, MN US",1964-04,5.63,,44.9,57.0,32.7
"ADA, MN US",1964-05,1.26,,59.8,74.4,45.3
"ADA, MN US",1964-06,7.82,,64.1,76.5,51.6
"ADA, MN US",1964-07,3.02,,72.4,84.7,60.1
"ADA, MN US",1964-08,3.62,0.0,65.6,78.0,53.2
"ADA, MN US",1964-09,2.52,0.0,56.0,68.4,43.6
"ADA, MN US",1964-11,1.92,4.0,30.7,40.2,21.2
"ADA, MN US",1964-12,1.41,15.0,4.5,13.6,-4.7
"ADA, MN US",1965-01,0.24,2.0,-0.8,10.8,-12.4
"ADA, MN US",1965-02,0.13,1.5,7.8,20.5,-4.9
"ADA, MN US",1965-03,0.91,,15.7,27.2,4.1
"ADA, MN US",1965-04,3.52,,42.2,51.8,32.6
"ADA, MN US",1965-05,4.64,,55.7,69.4,41.9
"ADA, MN US",1965-06,4.98,0.0,63.6,76.0,51.1
"ADA, MN US",1965-07,3.33,0.0,68.0,79.8,56.3
"ADA, MN US",1965-08,2.47,0.0,66.4,79.9,53.0
"ADA, MN US",1965-09,4.38,0.0,49.5,58.7,40.4
"ADA, MN US",1965-10,1.63,0.0,47.7,59.9,35.5
"ADA, MN US",1965-11,1.67,,28.8,37.3,20.3
"ADA, MN US",1965-12,1.10,,21.5,29.9,13.2
"ADA, MN US",1966-01,0.43,4.0,-6.3,4.1,-16.6
"ADA, MN US",1966-02,0.64,4.0,5.9,16.9,-5.0
"ADA, MN US",1966-03,2.95,26.0,29.9,39.4,20.4
"ADA, MN US",1966-04,1.99,7.0,38.5,47.8,29.1
"ADA, MN US",1966-05,1.28,0.0,52.6,66.1,39.1
"ADA, MN US",1966-06,3.65,0.0,66.3,78.3,54.4
"ADA, MN US",1966-07,3.15,0.0,72.9,85.0,60.9
"ADA, MN US",1966-08,4.19,0.0,66.2,78.2,54.2
"ADA, MN US",1966-09,1.04,0.0,59.0,72.4,45.6
"ADA, MN US",1966-10,0.80,0.0,46.1,58.7,33.5
"ADA, MN US",1966-11,0.25,,24.2,33.5,14.8
"ADA, MN US",1966-12,1.05,,12.0,22.2,1.8
"ADA, MN US",1967-01,2.04,24.0,8.7,20.7,-3.4
"ADA, MN US",1967-02,0.35,4.0,2.9,17.6,-11.9
"ADA, MN US",1967-03,0.73,7.0,27.2,39.8,14.6
"ADA, MN US",1967-04,3.83,,39.4,50.0,28.7
"ADA, MN US",1967-05,0.86,0.0,50.4,64.4,36.3
"ADA, MN US",1967-06,3.74,0.0,62.4,75.4,49.4
"ADA, MN US",1967-07,2.06,0.0,,,
"ADA, MN US",1967-08,0.33,0.0,65.5,81.0,50.0
"ADA, MN US",1967-09,0.85,0.0,60.0,74.2,45.7
"ADA, MN US",1967-10,1.41,0.0,43.9,55.7,32.1
"ADA, MN US",1967-11,0.20,0.0,28.4,38.9,17.9
"ADA, MN US",1967-12,1.60,17.0,13.6,23.6,3.5
"ADA, MN US",1968-01,0.40,4.0,5.8,16.8,-5.3
"ADA, MN US",1968-02,0.15,1.0,7.6,19.9,-4.7
"ADA, MN US",1968-03,1.46,0.0,32.6,46.8,18.5
"ADA, MN US",1968-04,2.97,11.0,,57.0,
"ADA, MN US",1968-05,2.46,0.0,52.4,65.2,39.6
"ADA, MN US",1968-06,5.80,0.0,63.8,75.0,52.6
"ADA, MN US",1968-07,2.99,0.0,,,
"ADA, MN US",1968-08,2.63,0.0,66.4,80.1,52.7
"ADA, MN US",1968-09,2.50,0.0,58.5,70.7,46.2
"ADA, MN US",1968-10,1.58,2.0,46.4,57.6,35.2
"ADA, MN US",1968-11,0.00,,29.7,38.3,21.1
"ADA, MN US",1968-12,1.64,17.5,9.9,18.4,1.3
"ADA, MN US",1969-01,2.21,23.4,-0.1,8.9,-9.2
"ADA, MN US",1969-02,1.17,12.0,13.5,23.1,3.8
"ADA, MN US",1969-03,0.49,5.0,,,
"ADA, MN US",1969-04,1.65,0.0,45.7,58.2,33.1
"ADA, MN US",1969-05,3.80,0.0,55.8,70.6,40.9
"ADA, MN US",1969-06,3.51,0.0,56.9,68.6,45.1
"ADA, MN US",1969-07,6.39,0.0,,,
"ADA, MN US",1969-08,2.67,0.0,73.3,86.3,60.4
"ADA, MN US",1969-09,3.51,0.0,60.3,72.1,48.5
"ADA, MN US",1969-10,1.80,4.0,41.0,49.1,32.9
"ADA, MN US",1969-11,0.21,2.0,31.0,40.0,22.0
"ADA, MN US",1969-12,0.69,7.5,16.8,25.2,8.4
"ADA, MN US",1970-01,0.21,2.5,,,
"ADA, MN US",1970-02,0.36,4.0,,,
"ADA, MN US",1970-03,1.71,4.9,18.7,29.7,7.6
"ADA, MN US",1970-04,2.85,12.5,41.4,51.3,31.4
"ADA, MN US",1970-05,3.61,0.0,53.3,65.0,41.6
"ADA, MN US",1970-06,6.74,0.0,69.5,81.0,57.9
"ADA, MN US",1970-07,0.88,0.0,72.1,85.1,59.1
"ADA, MN US",1970-08,0.94,0.0,69.6,83.7,55.6
"ADA, MN US",1970-09,3.85,0.0,60.8,72.9,48.7
"ADA, MN US",1970-10,3.17,3.5,46.5,57.0,36.1
"ADA, MN US",1970-11,1.00,,27.7,35.0,20.4
"ADA, MN US",1970-12,0.98,10.0,9.7,19.3,0.1
"ADA, MN US",1971-01,1.23,12.0,,,
"ADA, MN US",1971-02,0.26,2.0,11.5,22.5,0.5
"ADA, MN US",1971-03,0.75,5.9,,,
"ADA, MN US",1971-04,0.85,1.0,45.8,58.0,33.7
"ADA, MN US",1971-05,2.87,0.0,56.3,69.8,42.9
"ADA, MN US",1971-06,4.54,0.0,67.9,78.5,57.3
"ADA, MN US",1971-07,3.45,0.0,,,
"ADA, MN US",1971-08,1.73,0.0,68.8,82.5,55.2
"ADA, MN US",1971-09,3.80,0.0,60.0,72.6,47.5
"ADA, MN US",1971-10,7.49,2.5,48.4,57.8,39.0
"ADA, MN US",1971-11,0.66,1.0,29.1,36.4,21.8
"ADA, MN US",1971-12,0.51,5.5,12.1,22.2,2.0
"ADA, MN US",1972-01,0.92,9.0,1.0,11.6,-9.5
"ADA, MN US",1972-02,0.71,6.0,,,
"ADA, MN US",1972-03,0.96,10.0,24.4,34.7,14.1
"ADA, MN US",1972-04,2.13,,40.8,51.1,30.4
"ADA, MN US",1972-05,3.13,0.0,60.2,72.3,48.1
"ADA, MN US",1972-06,0.66,0.0,65.4,78.4,52.3
"ADA, MN US",1972-07,4.93,0.0,66.1,77.6,54.7
"ADA, MN US",1972-08,3.85,0.0,69.0,81.4,56.6
"ADA, MN US",1972-09,2.02,0.0,56.5,68.5,44.4
"ADA, MN US",1972-10,2.85,6.0,43.3,54.0,32.6
"ADA, MN US",1972-11,0.51,,,,
"ADA, MN US",1972-12,1.38,14.0,4.9,13.7,-3.9
"ADA, MN US",1973-01,0.21,2.5,11.7,21.1,2.2
"ADA, MN US",1973-02,0.28,3.0,16.5,25.8,7.2
"ADA, MN US",1973-03,1.22,0.0,38.4,46.7,30.1
"ADA, MN US",1973-04,0.71,0.0,43.3,56.8,29.7
"ADA, MN US",1973-05,1.74,0.0,56.3,70.3,42.2
"ADA, MN US",1973-06,2.41,0.0,66.3,79.2,53.4
"ADA, MN US",1973-07,1.97,0.0,69.2,81.7,56.6
"ADA, MN US",1973-08,3.28,0.0,72.2,85.4,59.0
"ADA, MN US",1973-09,8.06,0.0,57.7,70.3,45.1
"ADA, MN US",1973-10,1.22,0.0,,,
"ADA, MN US",1973-11,1.36,,26.2,34.8,17.6
"ADA, MN US",1973-12,1.02,10.0,10.9,18.8,3.0
"ADA, MN US",1974-01,0.75,7.0,1.1,11.8,-9.5
"ADA, MN US",1974-02,0.39,3.0,,,
"ADA, MN US",1974-03,0.63,,22.6,31.5,13.7
"ADA, MN US",1974-04,4.76,6.0,42.5,53.6,31.4
"ADA, MN US",1974-05,4.03,0.0,52.5,63.6,41.3
"ADA, MN US",1974-06,2.36,0.0,65.7,80.2,51.2
"ADA, MN US",1974-07,2.37,0.0,74.7,88.1,61.3
"ADA, MN US",1974-08,7.15,0.0,66.4,79.4,53.4
"ADA, MN US",1974-09,0.04,0.0,55.9,70.2,41.5
"ADA, MN US",1974-10,2.37,0.0,,,
"ADA, MN US",1974-11,1.77,,30.9,39.9,21.9
"ADA, MN US",1974-12,0.59,6.0,21.3,30.8,11.9
"ADA, MN US",1975-01,0.85,,9.8,20.6,-0.9
"ADA, MN US",1975-02,0.22,,10.5,21.0,-0.1
"ADA, MN US",1975-03,1.55,,18.8,28.7,8.9
"ADA, MN US",1975-04,4.24,0.0,36.6,45.2,28.0
"ADA, MN US",1975-05,1.87,0.0,58.2,72.7,43.8
"ADA, MN US",1975-06,8.17,0.0,65.0,77.1,52.9
"ADA, MN US",1975-07,2.45,0.0,74.6,87.0,62.1
"ADA, MN US",1975-08,0.98,0.0,,,
"ADA, MN US",1975-09,2.03,0.0,56.6,69.2,44.1
"ADA, MN US",1975-10,2.09,0.0,50.6,61.8,39.5
"ADA, MN US",1975-11,0.57,2.0,31.7,40.5,22.9
"ADA, MN US",1975-12,0.36,4.0,15.0,24.5,5.5
"ADA, MN US",1976-01,1.24,,8.0,19.3,-3.4
"ADA, MN US",1976-02,0.72,,22.7,32.9,12.6
"ADA, MN US",1976-03,,,25.2,36.7,13.6
"ADA, MN US",1976-04,2.08,,48.2,61.4,35.1
"ADA, MN US",1976-05,0.92,0.0,57.2,73.5,40.9
"ADA, MN US",1976-06,4.92,0.0,68.3,81.3,55.3
"ADA, MN US",1976-07,1.09,0.0,71.7,87.4,56.0
"ADA, MN US",1976-08,1.32,0.0,73.2,88.4,58.0
"ADA, MN US",1976-09,0.88,0.0,61.3,77.6,45.0
"ADA, MN US",1976-10,0.35,0.0,,,
"ADA, MN US",1976-11,0.17,0.0,24.3,34.9,13.7
"ADA, MN US",1976-12,0.51,,6.2,17.1,-4.7
"ADA, MN US",1977-01,0.87,,-3.3,6.0,-12.6
"ADA, MN US",1977-02,1.14,,16.6,26.1,7.2
"ADA, MN US",1977-03,1.39,,32.4,42.8,21.9
"ADA, MN US",1977-04,1.35,,50.5,65.3,35.7
"ADA, MN US",1977-05,3.94,0.0,67.4,81.2,53.5
"ADA, MN US",1977-06,2.86,0.0,66.9,79.9,53.9
"ADA, MN US",1977-07,2.67,0.0,,85.4,
"ADA, MN US",1977-08,4.76,0.0,63.3,76.4,50.3
"ADA, MN US",1977-09,5.54,0.0,58.6,68.2,48.9
"ADA, MN US",1977-10,2.02,0.0,47.4,58.9,35.8
"ADA, MN US",1977-11,4.87,,25.4,33.9,16.9
"ADA, MN US",1977-12,,,,,
"ADA, MN US",1978-01,0.07,1.0,-2.4,6.7,-11.6
"ADA, MN US",1978-02,0.39,,5.2,15.9,-5.5
"ADA, MN US",1978-03,0.34,,23.8,34.1,13.5
"ADA, MN US",1978-04,0.76,0.0,42.7,54.3,31.2
"ADA, MN US",1978-05,2.07,0.0,60.8,75.2,46.3
"ADA, MN US",1978-06,2.77,0.0,65.3,79.7,50.8
"ADA, MN US",1978-07,2.86,0.0,,,
"ADA, MN US",1978-08,4.40,0.0,70.7,85.2,56.3
"ADA, MN US",1978-09,1.45,0.0,64.0,77.4,50.6
"ADA, MN US",1978-10,0.16,0.0,47.8,60.7,34.8
"ADA, MN US",1978-11,0.86,,22.6,33.8,11.3
"ADA, MN US",1978-12,0.58,,6.2,16.0,-3.6
"ADA, MN US",1979-01,1.10,12.0,-6.2,3.1,-15.4
"ADA, MN US",1979-02,0.91,,0.0,8.8,-8.9
"ADA, MN US",1979-03,1.30,,,31.2,
"ADA, MN US",1979-04,3.23,,35.4,44.5,26.4
"ADA, MN US",1979-05,3.45,0.0,49.9,61.8,38.0
"ADA, MN US",1979-06,4.98,0.0,64.7,77.1,52.4
"ADA, MN US",1979-07,2.90,0.0,,,58.7
"ADA, MN US",1979-08,1.93,0.0,66.3,79.4,53.3
"ADA, MN US",1979-09,0.44,0.0,61.4,76.7,46.1
"ADA, MN US",1979-10,1.86,0.0,44.1,56.0,32.3
"ADA, MN US",1979-11,0.89,,26.0,33.6,18.4
"ADA, MN US",1979-12,0.37,4.0,21.6,30.6,12.6
"ADA, MN US",1980-01,1.25,,6.5,16.0,-3.0
"ADA, MN US",1980-02,0.76,,9.6,19.4,-0.2
"ADA, MN US",1980-03,0.74,,22.8,33.4,12.2
"ADA, MN US",1980-04,0.00,0.0,50.3,66.8,33.7
"ADA, MN US",1980-05,0.32,0.0,61.9,79.5,44.4
"ADA, MN US",1980-06,2.88,0.0,66.1,80.0,52.2
"ADA, MN US",1980-07,1.17,0.0,,,
"ADA, MN US",1980-08,5.01,0.0,,,
"ADA, MN US",1980-09,1.33,0.0,56.2,67.9,44.5
"ADA, MN US",1980-10,1.39,0.0,43.9,54.6,33.2
"ADA, MN US",1980-11,0.55,,33.4,42.5,24.3
"ADA, MN US",1980-12,0.34,,13.8,22.9,4.7
"ADA, MN US",1981-01,0.17,,14.8,25.6,4.1
"ADA, MN US",1981-02,0.71,6.1,20.6,31.2,10.0
"ADA, MN US",1981-03,0.70,0.0,33.5,47.4,19.7
"ADA, MN US",1981-04,1.46,0.0,47.5,61.9,33.0
"ADA, MN US",1981-05,6.22,0.0,57.8,71.5,44.2
"ADA, MN US",1981-06,5.51,0.0,64.8,76.2,53.3
"ADA, MN US",1981-07,5.92,0.0,71.8,83.9,59.7
"ADA, MN US",1981-08,2.56,0.0,68.8,81.9,55.7
"ADA, MN US",1981-09,2.73,0.0,57.5,70.9,44.1
"ADA, MN US",1981-10,3.98,3.0,44.6,54.3,34.9
"ADA, MN US",1981-11,0.49,3.0,37.0,46.0,28.0
"ADA, MN US",1981-12,0.71,8.5,,,4.2
"ADA, MN US",1982-01,1.89,26.0,-5.5,6.3,-17.2
"ADA, MN US",1982-02,0.29,2.5,10.9,20.2,1.6
"ADA, MN US",1982-03,1.22,,25.4,33.2,17.5
"ADA, MN US",1982-04,0.57,0.0,42.3,55.7,29.0
"ADA, MN US",1982-05,2.60,0.0,59.3,71.5,47.2
"ADA, MN US",1982-06,1.98,0.0,60.9,74.1,47.8
"ADA, MN US",1982-07,5.06,0.0,71.0,84.1,57.9
"ADA, MN US",1982-08,1.86,0.0,69.2,82.7,55.6
"ADA, MN US",1982-09,1.32,0.0,59.9,74.1,45.7
"ADA, MN US",1982-10,5.29,0.0,47.2,56.3,38.0
"ADA, MN US",1982-11,0.57,0.0,23.8,32.7,15.0
"ADA, MN US",1982-12,1.64,,21.6,30.0,13.2
"ADA, MN US",1983-01,0.88,8.0,16.1,25.2,7.0
"ADA, MN US",1983-02,0.41,0.0,22.2,31.0,13.3
"ADA, MN US",1983-03,1.07,0.0,30.7,37.9,23.6
"ADA, MN US",1983-04,0.30,0.0,43.0,55.2,30.7
"ADA, MN US",1983-05,1.89,0.0,53.5,68.3,38.7
"ADA, MN US",1983-06,7.89,0.0,67.8,79.8,55.8
"ADA, MN US",1983-07,3.52,0.0,74.9,87.3,62.5
"ADA, MN US",1983-08,,0.0,,,
"ADA, MN US",1983-09,2.54,0.0,59.2,69.5,49.0
"ADA, MN US",1983-10,1.56,0.0,,,
"ADA, MN US",1983-11,0.85,0.0,31.8,37.3,26.3
"ADA, MN US",1983-12,0.76,,,,
"ADA, MN US",1984-01,0.84,,9.9,18.2,1.6
"ADA, MN US",1984-02,0.88,0.0,26.4,32.4,20.5
"ADA, MN US",1984-03,0.64,,25.2,33.4,17.1
"ADA, MN US",1984-04,1.43,0.0,47.4,58.8,35.9
"ADA, MN US",1984-05,0.81,0.0,,,
"ADA, MN US",1984-06,6.35,0.0,66.2,76.6,55.9
"ADA, MN US",1984-07,0.82,0.0,71.5,85.3,57.6
"ADA, MN US",1984-08,1.25,0.0,75.8,90.2,61.5
"ADA, MN US",1984-10,5.10,0.0,,,
"ADA, MN US",1984-11,0.23,1.0,29.8,39.1,20.5
"ADA, MN US",1984-12,0.45,4.0,9.5,19.8,-0.9
"ADA, MN US",1985-01,0.61,5.6,6.4,18.2,-5.4
"ADA, MN US",1985-02,0.62,4.4,10.5,21.0,0.1
"ADA, MN US",1985-03,1.71,11.0,33.3,42.5,24.1
"ADA, MN US",1985-04,2.26,0.0,46.9,60.0,33.9
"ADA, MN US",1985-05,9.19,0.0,60.8,74.5,47.2
"ADA, MN US",1985-06,3.36,0.0,60.9,72.3,49.6
"ADA, MN US",1985-07,1.62,0.0,,,55.5
"ADA, MN US",1985-08,3.02,0.0,64.9,75.9,53.9
